order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK04055,2018-12-29,20:00:00,Dinner,BK,"[('Salmon', 7), ('Fish&Chips', 3), ('Pasta', 8)]",612.0,-37.8131489,144.971519,0,7.1129999999999995,8916.0
ORDJ07632,2018-03-17,10:21:58,Breakfast,TP,"[('Cereal', 2), ('Pancake', 2), ('Coffee', 5)]",128.0,-37.8076856,144.970857,0,9.271,13.434
ORDC06462,2018-04-27,11:43:05,Breakfast,NS,"[('Pancake', 6), ('Eggs', 8)]",321.5,-37.8017334,144.9416826,0,8.891,14.127
ORDZ02335,2018-06-10,13:14:21,Lunch,NS,"[('Salad', 6), ('Chicken', 2), ('Burger', 5), ('Steak', 1)]",367.2,-37.8214578,144.9838758,0,9.149,16.349
ORDK05585,2018-02-15,09:21:07,Breakfast,BK,"[('Eggs', 5), ('Pancake', 2), ('Coffee', 10)]",233.5,-37.8136358,145.0000791,0,4.388999999999999,9.051
ORDJ01326,2018-02-24,09:41:24,Breakfast,TP,"[('Pancake', 2), ('Eggs', 4), ('Coffee', 7), ('Cereal', 3)]",252.0,-37.8237801,144.9687099,0,7.966,12.164
ORDZ01749,2018-07-22,14:35:29,Lunch,NS,"[('Salad', 4), ('Steak', 8), ('Burger', 4)]",552.8,-37.8137032,144.9534586,0,8.509,16.06
ORDJ08583,2018-05-12,12:13:31,Lunch,TP,"[('Burger', 1), ('Salad', 7)]",151.4,-37.7996552,144.9371242,0,11.699000000000002,15.799
ORDI08004,2018-07-10,14:15:12,Lunch,NS,"[('Steak', 8), ('Burger', 6)]",546.0,-37.8243679,144.9828821,0,9.413,14.852
ORDC08027,2018-09-13,16:27:02,Dinner,NS,"[('Shrimp', 6), ('Salmon', 6), ('Fish&Chips', 4), ('Pasta', 9)]",957.5,-37.8165069,144.9459417,0,9.287,14.998
ORDY03100,2018-09-02,16:06:45,Dinner,TP,"[('Salmon', 2), ('Shrimp', 1), ('Pasta', 9)]",383.5,-37.8141885,144.9629889,0,8.035,13.676
ORDC02727,2018-12-01,19:09:17,Dinner,NS,"[('Salmon', 3), ('Pasta', 3)]",205.5,-37.8214948,144.9579391,0,9.312000000000001,17.38
ORDY10695,2018-10-23,17:48:10,Dinner,TP,"[('Fish&Chips', 4), ('Salmon', 6), ('Shrimp', 3)]",548.0,-37.8197057,144.9706935,0,7.803999999999999,12.087
ORDB03142,2018-09-21,16:37:10,Dinner,TP,"[('Shrimp', 5), ('Salmon', 6), ('Fish&Chips', 10)]",866.0,-37.8092101,144.9291215,0,11.163,15.116
ORDB09303,2018-07-15,14:25:21,Lunch,TP,"[('Burger', 8), ('Fries', 6), ('Salad', 3)]",371.6,-37.8201817,144.957557,0,7.952000000000001,12.183
ORDI07191,2018-11-11,18:28:43,Dinner,NS,"[('Fish&Chips', 8), ('Shrimp', 9)]",766.0,-37.8152749,144.9446734,0,9.23,17.343
ORDC08264,2018-06-17,13:34:38,Lunch,NS,"[('Fries', 1), ('Salad', 6), ('Burger', 10), ('Chicken', 7)]",649.2,-37.801844,144.9813581,0,7.114,14.91
ORDI06811,2018-09-29,16:57:27,Dinner,NS,"[('Shrimp', 7), ('Fish&Chips', 10), ('Salmon', 3)]",851.0,-37.8126529,144.9740747,0,7.626,15.345
ORDK00271,2018-10-24,17:48:10,Dinner,BK,"[('Salmon', 5), ('Fish&Chips', 3)]",310.0,-37.8204849,144.966356,0,7.942,8916.0
ORDZ06496,2018-11-24,18:49:00,Dinner,NS,"[('Salmon', 9), ('Shrimp', 5), ('Fish&Chips', 7)]",884.0,-37.8048559,144.9587708,0,7.602,15.258
ORDA08861,2018-11-20,18:38:52,Dinner,BK,"[('Shrimp', 5), ('Salmon', 2), ('Fish&Chips', 9), ('Pasta', 10)]",942.0,-37.8243712,145.0159628,0,4.894,11.879
ORDB03282,2018-09-30,16:57:27,Dinner,TP,"[('Fish&Chips', 6), ('Salmon', 4), ('Shrimp', 4), ('Pasta', 5)]",727.5,-37.7996998,144.9771516,0,10.193,16.108
ORDZ01429,2018-05-22,12:33:48,Lunch,NS,"[('Salad', 3), ('Fries', 10), ('Burger', 6), ('Steak', 4), ('Chicken', 7)]",761.6,-37.8066767,144.9451204,0,9.144,14.874
ORDB04559,2018-07-28,14:55:46,Lunch,TP,"[('Fries', 7), ('Steak', 6)]",354.0,-37.8048891,144.9880041,0,10.569,15.292
ORDX01917,2018-08-04,15:05:54,Lunch,BK,"[('Chicken', 4), ('Fries', 2), ('Steak', 3), ('Burger', 7)]",504.0,-37.8036139,144.9496916,0,8.802999999999999,17.445
ORDB01270,2018-05-08,12:13:31,Lunch,TP,"[('Fries', 10), ('Burger', 1), ('Chicken', 9), ('Steak', 8)]",799.0,-37.8188451,144.9654245,0,7.447,8916.0
ORDI07032,2018-12-27,20:00:00,Dinner,NS,"[('Fish&Chips', 2), ('Shrimp', 1), ('Salmon', 3), ('Pasta', 1)]",274.5,-37.8170359,145.0039027,0,10.37,16.222
ORDZ03534,2018-02-03,09:00:50,Breakfast,NS,"[('Coffee', 9), ('Cereal', 5)]",172.5,-37.8097648,144.9782577,0,7.686,15.034
ORDC00580,2018-05-01,11:53:14,Breakfast,NS,"[('Eggs', 3), ('Coffee', 5)]",103.5,-37.8093013,144.950196,0,8.728,8916.0
ORDA06523,2018-07-01,13:54:55,Lunch,BK,"[('Burger', 3), ('Steak', 10), ('Fries', 3), ('Salad', 1), ('Chicken', 6)]",788.2,-37.8055238,144.9555785,0,8.129,16.496
ORDY08239,2018-07-29,14:55:46,Lunch,TP,"[('Fries', 2), ('Steak', 5), ('Salad', 1), ('Chicken', 3)]",362.2,-37.8221386,144.9498655,0,8.669,14.19
ORDX02260,2018-03-06,10:01:41,Breakfast,BK,"[('Coffee', 2), ('Pancake', 3)]",87.75,-37.8133498,144.9515077,0,8.562999999999999,13.224
ORDI07340,2018-02-25,09:41:24,Breakfast,NS,"[('Pancake', 8), ('Coffee', 7), ('Eggs', 3)]",312.5,-37.816024,144.9567376,0,8.65,8916.0
ORDA09314,2018-12-03,19:09:17,Dinner,BK,"[('Fish&Chips', 2), ('Shrimp', 3), ('Pasta', 10)]",507.0,-37.818975,144.9540912,0,8.707,15.443
ORDC10418,2018-10-31,17:58:18,Dinner,NS,"[('Pasta', 2), ('Salmon', 8), ('Fish&Chips', 3), ('Shrimp', 4)]",704.0,-37.8044517,144.934518,0,9.911,15.699
ORDI10383,2018-03-26,10:42:15,Breakfast,NS,"[('Coffee', 6), ('Eggs', 4), ('Cereal', 8)]",301.0,-37.8059246,144.9734402,0,6.857,12.028
ORDI02439,2018-03-04,10:01:41,Breakfast,NS,"[('Eggs', 3), ('Coffee', 9), ('Cereal', 6)]",259.5,-37.8132093,145.0144442,0,10.863,17.778
ORDZ03156,2018-07-13,14:25:21,Lunch,NS,"[('Fries', 10), ('Burger', 1), ('Steak', 5), ('Salad', 4), ('Chicken', 6)]",636.8,-37.8160135,144.9996347,0,9.925,15.341
ORDY01106,2018-03-14,10:21:58,Breakfast,TP,"[('Cereal', 6), ('Eggs', 10), ('Coffee', 2)]",361.0,-37.8018626,145.0030113,0,12.019,13.89
ORDB01547,2018-07-29,14:55:46,Lunch,TP,"[('Salad', 2), ('Steak', 2), ('Burger', 8)]",372.4,-37.8125052,144.9652372,0,8.327,13.0
ORDX06601,2018-04-18,11:32:57,Breakfast,BK,"[('Coffee', 7), ('Cereal', 7)]",199.5,-37.8109307,144.9767106,0,6.426,11.376
ORDK02261,2018-01-01,08:00:00,Breakfast,BK,"[('Pancake', 7), ('Coffee', 4)]",199.75,-37.8213426,144.9463561,1,9.432,6.851
ORDI09223,2018-08-21,15:36:20,Lunch,NS,"[('Burger', 4), ('Chicken', 3), ('Fries', 3)]",256.0,-37.8237109,144.9903732,0,9.658,14.898
ORDX08098,2018-09-21,16:47:19,Dinner,BK,"[('Fish&Chips', 7), ('Salmon', 7)]",532.0,-37.8202843,144.9577685,0,8.334,14.949
ORDX00216,2018-08-03,15:05:54,Lunch,BK,"[('Chicken', 5), ('Steak', 8), ('Salad', 1)]",537.2,-37.8208575,144.9616783,0,8.175,14.311
ORDX03944,2018-11-12,18:28:43,Dinner,BK,"[('Shrimp', 5), ('Fish&Chips', 4), ('Pasta', 7), ('Salmon', 7)]",889.5,-37.804278,144.9775821,0,7.04,13.52
ORDI02455,2018-03-10,10:11:49,Breakfast,NS,"[('Coffee', 5), ('Cereal', 3)]",100.5,-37.8233588,144.9785671,0,8.908999999999999,15.816
ORDB07657,2018-06-13,13:24:30,Lunch,TP,"[('Steak', 8), ('Salad', 2), ('Fries', 9), ('Chicken', 9)]",790.4,-37.8125779,144.9492853,0,9.306,13.251
ORDK07271,2018-05-09,12:13:31,Lunch,BK,"[('Steak', 9), ('Salad', 2), ('Burger', 7)]",656.4,-37.8020781,144.9885617,0,5.892,12.035
ORDJ03191,2018-06-05,13:04:13,Lunch,TP,"[('Fries', 1), ('Salad', 2), ('Burger', 7), ('Chicken', 2)]",327.4,-37.814117,144.9641202,0,8.047,11.786
ORDY01332,2018-11-05,18:08:27,Dinner,TP,"[('Shrimp', 9), ('Fish&Chips', 1), ('Pasta', 8)]",741.0,-37.8194259,144.9819366,0,8.952,13.261
ORDI04266,2018-11-02,18:08:27,Dinner,NS,"[('Salmon', 2), ('Pasta', 8), ('Fish&Chips', 6)]",512.0,-37.8045777,144.9752311,0,6.827000000000001,12.762
ORDA04572,2018-01-12,08:20:16,Breakfast,BK,"[('Pancake', 7), ('Cereal', 8), ('Eggs', 1), ('Coffee', 8)]",419.75,-37.7981012,144.9528279,1,8.779,7.424
ORDB09586,2018-01-07,08:10:08,Breakfast,TP,"[('Coffee', 9), ('Eggs', 10), ('Pancake', 8), ('Cereal', 10)]",691.5,-37.8125043,144.9374633,1,10.665999999999999,7.12
ORDJ06629,2018-10-05,17:07:36,Dinner,TP,"[('Salmon', 8), ('Pasta', 7), ('Fish&Chips', 10)]",870.5,-37.8194217,144.9839965,0,9.224,13.425
ORDK06709,2018-11-14,18:28:43,Dinner,BK,"[('Fish&Chips', 9), ('Pasta', 3), ('Shrimp', 9), ('Salmon', 8)]",1211.5,-37.7987038,144.9672326,0,7.937,14.673
ORDI08582,2018-04-10,11:12:40,Breakfast,NS,"[('Coffee', 3), ('Cereal', 5)]",127.5,-37.7990528,144.9727542,0,6.376,11.318
ORDA08645,2018-11-10,18:18:35,Dinner,BK,"[('Salmon', 2), ('Fish&Chips', 3), ('Shrimp', 7)]",565.0,-37.8104585,144.9440867,0,9.525,18.953
ORDJ10966,2018-11-04,18:08:27,Dinner,TP,"[('Pasta', 9), ('Fish&Chips', 4)]",387.5,-37.8037021,145.0047915,0,12.124,17.611
ORDJ01368,2018-01-12,08:20:16,Breakfast,TP,"[('Coffee', 9), ('Cereal', 5), ('Eggs', 9), ('Pancake', 9)]",588.75,-37.8072412,144.9574337,1,9.177999999999999,4458.0
ORDC02061,2018-08-23,15:46:28,Lunch,NS,"[('Burger', 2), ('Steak', 3), ('Chicken', 4), ('Fries', 4)]",373.0,-37.8230066,144.9876456,0,9.434,15.257
ORDY01078,2018-08-13,15:26:11,Lunch,TP,"[('Burger', 7), ('Chicken', 4), ('Salad', 3), ('Steak', 8), ('Fries', 9)]",864.6,-37.8068611,144.9375695,0,10.485,13.774
ORDB08323,2018-11-05,18:08:27,Dinner,TP,"[('Fish&Chips', 5), ('Pasta', 7), ('Shrimp', 7), ('Salmon', 8)]",1073.5,-37.8160295,144.9636726,0,7.906000000000001,11.977
ORDI02282,2018-11-02,18:08:27,Dinner,NS,"[('Shrimp', 7), ('Pasta', 1), ('Salmon', 8), ('Fish&Chips', 8)]",1013.5,-37.8022149,144.9802886,0,7.1610000000000005,8916.0
ORDX10215,2018-01-15,08:20:16,Breakfast,BK,"[('Coffee', 1), ('Eggs', 9), ('Cereal', 5)]",310.5,-37.8183743,144.9486428,1,9.19,7.066
ORDC09716,2018-12-27,20:00:00,Dinner,NS,"[('Pasta', 8), ('Shrimp', 3), ('Salmon', 10), ('Fish&Chips', 9)]",1107.0,-37.8196878,144.9616544,0,8.93,14.811
ORDA01587,2018-07-09,14:15:12,Lunch,BK,"[('Steak', 2), ('Salad', 4), ('Chicken', 7)]",382.8,-37.8093554,144.9744788,0,6.5,11.954
ORDX01031,2018-08-14,15:26:11,Lunch,BK,"[('Fries', 5), ('Chicken', 3)]",156.0,-37.8229997,144.9644869,0,8.263,14.227
ORDB06084,2018-10-30,17:58:18,Dinner,TP,"[('Pasta', 1), ('Fish&Chips', 10), ('Shrimp', 3)]",539.5,-37.8111253,144.9369556,0,10.469000000000001,14.779
ORDJ05207,2018-01-09,08:10:08,Breakfast,TP,"[('Pancake', 7), ('Eggs', 4), ('Coffee', 8)]",317.75,-37.8042277,144.9817977,1,10.158,5.991
ORDB03532,2018-03-23,10:42:15,Breakfast,TP,"[('Coffee', 3), ('Eggs', 4), ('Cereal', 6), ('Pancake', 1)]",260.75,-37.8155713,144.928303,0,11.674000000000001,13.837
ORDB01599,2018-03-18,10:32:06,Breakfast,TP,"[('Coffee', 1), ('Eggs', 8), ('Cereal', 5), ('Pancake', 4)]",385.5,-37.812895,144.9739274,0,8.669,12.85
ORDZ01752,2018-10-20,17:38:01,Dinner,NS,"[('Fish&Chips', 1), ('Pasta', 8), ('Shrimp', 7), ('Salmon', 5)]",838.0,-37.8189152,144.9649663,0,8.658,8916.0
ORDK01794,2018-10-03,17:07:36,Dinner,BK,"[('Shrimp', 9), ('Salmon', 2), ('Fish&Chips', 2)]",638.0,-37.8243728,144.9525106,0,9.1,15.601
ORDK07212,2018-06-03,13:04:13,Lunch,BK,"[('Chicken', 1), ('Fries', 2)]",56.0,-37.8253619,144.9569777,0,8.863,16.98
ORDY06490,2018-01-19,08:30:25,Breakfast,TP,"[('Pancake', 2), ('Coffee', 2)]",63.5,-37.8140337,144.9388876,1,10.249,5.905
ORDK09598,2018-05-24,12:43:56,Lunch,BK,"[('Burger', 10), ('Steak', 4)]",490.0,-37.8260642,144.9518976,0,9.226,15.412
ORDC01278,2018-04-20,11:32:57,Breakfast,NS,"[('Eggs', 2), ('Coffee', 8)]",104.0,-37.8189654,144.9527795,0,9.273,14.129
ORDK10251,2018-02-17,09:31:16,Breakfast,BK,"[('Eggs', 9), ('Cereal', 1), ('Pancake', 8), ('Coffee', 1)]",420.5,-37.8043289,144.9501428,0,8.9,15.976
ORDI00355,2018-10-29,17:58:18,Dinner,NS,"[('Salmon', 8), ('Shrimp', 1), ('Pasta', 3)]",464.5,-37.8203466,144.9690838,0,9.382,15.558
ORDI02271,2018-12-06,19:09:17,Dinner,NS,"[('Shrimp', 10), ('Salmon', 9)]",909.0,-37.8177254,144.9592006,0,8.732000000000001,14.411
ORDB08630,2018-11-26,18:49:00,Dinner,TP,"[('Fish&Chips', 9), ('Salmon', 1), ('Shrimp', 7), ('Pasta', 8)]",954.0,-37.8061546,144.9583045,0,9.074,8916.0
ORDY06438,2018-04-11,11:12:40,Breakfast,TP,"[('Cereal', 1), ('Pancake', 6)]",166.5,-37.8030255,144.9488558,0,9.994,12.604
ORDY00300,2018-03-19,10:32:06,Breakfast,TP,"[('Cereal', 9), ('Pancake', 8)]",383.0,-37.8141573,144.9519095,0,8.952,11.795
ORDY04406,2018-12-25,19:49:51,Dinner,TP,"[('Shrimp', 1), ('Fish&Chips', 4)]",194.0,-37.8158106,145.0099552,0,11.793,8916.0
ORDJ06786,2018-08-15,15:26:11,Lunch,TP,"[('Burger', 10), ('Fries', 4), ('Chicken', 4), ('Salad', 10), ('Steak', 9)]",1063.0,-37.8078965,144.9768616,0,9.327,12.265
ORDA08619,2018-08-18,15:36:20,Lunch,BK,"[('Salad', 5), ('Chicken', 8)]",342.0,-37.8121281,144.9707476,0,7.026,15.663
ORDZ07639,2018-04-11,11:12:40,Breakfast,NS,"[('Cereal', 3), ('Coffee', 6), ('Pancake', 7), ('Eggs', 4)]",365.75,-37.8148701,144.9589902,0,8.366,13.158
ORDI07952,2018-11-04,18:08:27,Dinner,NS,"[('Salmon', 10), ('Pasta', 3), ('Shrimp', 7)]",870.5,-37.8187505,144.9530398,0,9.234,17.136
ORDB10414,2018-05-25,12:43:56,Lunch,TP,"[('Salad', 8), ('Fries', 4), ('Chicken', 4), ('Steak', 2), ('Burger', 6)]",589.6,-37.8136434,144.9676056,0,8.366,12.59
ORDC00657,2018-04-13,11:22:49,Breakfast,NS,"[('Coffee', 1), ('Cereal', 2), ('Pancake', 1), ('Eggs', 8)]",249.75,-37.819554,144.9632428,0,8.834,13.942
ORDY10872,2018-03-22,10:32:06,Breakfast,TP,"[('Cereal', 1), ('Pancake', 9)]",239.25,-37.8003489,144.9550214,0,9.828,8916.0
ORDI05859,2018-03-29,10:52:23,Breakfast,NS,"[('Cereal', 8), ('Eggs', 8)]",344.0,-37.8035491,144.9730654,0,6.995,11.942
ORDC00084,2018-06-11,13:14:21,Lunch,NS,"[('Burger', 3), ('Salad', 6), ('Steak', 3), ('Chicken', 2), ('Fries', 3)]",431.2,-37.8041457,144.9458837,0,8.73,13.756
ORDK08331,2018-07-19,14:35:29,Lunch,BK,"[('Chicken', 3), ('Fries', 3), ('Salad', 2)]",166.4,-37.7994977,144.9786814,0,6.973,12.374
ORDA09891,2018-07-03,14:05:04,Lunch,BK,"[('Burger', 2), ('Fries', 2), ('Salad', 1), ('Chicken', 5), ('Steak', 3)]",398.2,-37.8097454,144.9639082,0,7.396,13.378
ORDJ02885,2018-05-15,12:23:39,Lunch,TP,"[('Salad', 5), ('Steak', 1)]",131.0,-37.8248372,144.9539301,0,8.402999999999999,12.214
ORDK03748,2018-06-26,13:44:47,Lunch,BK,"[('Chicken', 3), ('Steak', 1), ('Fries', 9), ('Salad', 8)]",386.6,-37.8246816,144.988878,0,6.408,12.328
ORDY02594,2018-07-10,14:15:12,Lunch,TP,"[('Fries', 3), ('Burger', 2), ('Chicken', 5), ('Steak', 1), ('Salad', 5)]",389.0,-37.8245586,144.9848092,0,8.892,11.972
ORDX05017,2018-11-05,18:08:27,Dinner,BK,"[('Shrimp', 6), ('Fish&Chips', 8), ('Salmon', 6), ('Pasta', 1)]",877.5,-37.8198573,144.9518752,0,8.922,15.448
ORDK01802,2018-11-05,18:08:27,Dinner,BK,"[('Salmon', 9), ('Pasta', 1), ('Shrimp', 8)]",828.5,-37.8225159,144.9477823,0,9.261000000000001,16.076
ORDB10361,2018-09-19,16:37:10,Dinner,TP,"[('Salmon', 8), ('Pasta', 3), ('Shrimp', 8), ('Fish&Chips', 2)]",912.5,-37.822088,144.9500022,0,8.656,12.504
ORDK07836,2018-12-04,19:09:17,Dinner,BK,"[('Salmon', 5), ('Shrimp', 9), ('Pasta', 9)]",938.5,-37.8154693,144.9680827,0,7.419,14.635
ORDI01104,2018-10-17,17:38:01,Dinner,NS,"[('Fish&Chips', 9), ('Salmon', 1)]",356.0,-37.8247325,145.005764,0,11.167,17.113
ORDZ02245,2018-03-15,10:21:58,Breakfast,NS,"[('Eggs', 6), ('Cereal', 1), ('Pancake', 1)]",177.25,-37.8036511,144.9365946,0,10.464,15.54
ORDB10729,2018-01-29,08:50:42,Breakfast,TP,"[('Cereal', 1), ('Eggs', 7)]",175.0,-37.8073598,144.9673572,0,9.131,11.621
ORDC04618,2018-01-21,08:40:33,Breakfast,NS,"[('Pancake', 9), ('Cereal', 5), ('Coffee', 7)]",375.75,-37.8037406,144.9654287,0,6.853,13.19
ORDB03550,2018-11-04,18:08:27,Dinner,TP,"[('Fish&Chips', 3), ('Pasta', 10), ('Shrimp', 1)]",434.0,-37.8189068,144.9521333,0,8.639,14.428
ORDJ01662,2018-05-15,12:23:39,Lunch,TP,"[('Burger', 9), ('Steak', 1), ('Salad', 5), ('Fries', 5)]",470.0,-37.8246844,144.9532331,0,8.391,8916.0
ORDK01031,2018-06-25,13:44:47,Lunch,BK,"[('Chicken', 9), ('Fries', 1)]",300.0,-37.8242,144.9832969,0,6.995,12.774
ORDK04653,2018-08-15,15:26:11,Lunch,BK,"[('Chicken', 9), ('Fries', 10), ('Burger', 1), ('Salad', 1), ('Steak', 9)]",861.2,-37.809223,144.9856397,0,5.415,11.09
ORDA07363,2018-02-15,09:21:07,Breakfast,BK,"[('Coffee', 7), ('Cereal', 1), ('Pancake', 5)]",194.75,-37.8231928,144.960834,0,8.416,8916.0
ORDI05435,2018-07-16,14:25:21,Lunch,NS,"[('Burger', 7), ('Chicken', 8)]",473.0,-37.8198422,144.9408034,0,10.017999999999999,15.569
ORDJ01768,2018-02-13,09:21:07,Breakfast,TP,"[('Cereal', 5), ('Eggs', 1), ('Pancake', 1), ('Coffee', 7)]",203.75,-37.8027472,144.9719775,0,9.958,12.349
ORDI10904,2018-05-24,12:43:56,Lunch,NS,"[('Fries', 4), ('Chicken', 3), ('Salad', 3)]",195.6,-37.8040854,144.9584151,0,7.5360000000000005,13.278
ORDB05088,2018-12-31,20:00:00,Dinner,TP,"[('Shrimp', 3), ('Pasta', 1), ('Salmon', 6)]",435.5,-37.7989484,145.0012841,0,12.513,15.723
ORDB02066,2018-02-17,09:31:16,Breakfast,TP,"[('Cereal', 4), ('Coffee', 1)]",91.5,-37.8257372,144.9820183,0,8.766,8916.0
ORDA06646,2018-10-06,17:07:36,Dinner,BK,"[('Pasta', 8), ('Fish&Chips', 10), ('Salmon', 8)]",898.0,-37.8193592,144.983149,0,6.48,15.61
ORDI07927,2018-03-04,10:01:41,Breakfast,NS,"[('Cereal', 4), ('Coffee', 4), ('Eggs', 9), ('Pancake', 10)]",554.5,-37.8170235,144.9515201,0,9.955,16.639
ORDB00416,2018-08-12,15:26:11,Lunch,TP,"[('Burger', 2), ('Chicken', 7), ('Fries', 1)]",298.0,-37.7994886,144.9777918,0,10.255,14.976
ORDY03595,2018-05-22,12:33:48,Lunch,TP,"[('Salad', 8), ('Fries', 1), ('Steak', 4), ('Burger', 8)]",577.6,-37.8072521,144.9453412,0,10.05,13.108
ORDB11104,2018-11-06,18:08:27,Dinner,TP,"[('Fish&Chips', 4), ('Shrimp', 5)]",410.0,-37.8151371,144.9637175,0,7.897,8916.0
ORDJ05062,2018-08-05,15:05:54,Lunch,TP,"[('Chicken', 10), ('Steak', 7), ('Fries', 4), ('Salad', 10), ('Burger', 1)]",886.0,-37.8112451,144.9686679,0,8.684,14.031
ORDC04223,2018-10-09,17:17:44,Dinner,NS,"[('Shrimp', 9), ('Pasta', 3)]",568.5,-37.8064779,144.9378783,0,9.595,15.724
ORDK00281,2018-03-23,10:42:15,Breakfast,BK,"[('Coffee', 1), ('Eggs', 6)]",139.5,-37.8204694,144.9850547,0,6.37,8916.0
ORDC02905,2018-06-15,13:24:30,Lunch,NS,"[('Fries', 2), ('Steak', 3), ('Burger', 10), ('Salad', 9), ('Chicken', 6)]",815.8,-37.8054396,144.9988492,0,8.982000000000001,14.515
ORDJ01671,2018-06-27,13:54:55,Lunch,TP,"[('Steak', 9), ('Fries', 2)]",429.0,-37.8109175,145.0098691,0,11.936,14.852
ORDA06973,2018-09-21,16:47:19,Dinner,BK,"[('Salmon', 5), ('Fish&Chips', 3)]",310.0,-37.8202395,144.9576732,0,8.342,15.186
ORDJ07051,2018-07-12,14:25:21,Lunch,TP,"[('Burger', 5), ('Steak', 8), ('Salad', 6)]",618.2,-37.8218259,144.9516054,0,8.505,12.34
ORDZ10439,2018-05-15,12:23:39,Lunch,NS,"[('Chicken', 4), ('Fries', 3)]",164.0,-37.8181176,144.9647523,0,8.51,14.166
ORDZ09022,2018-12-07,19:19:26,Dinner,NS,"[('Pasta', 4), ('Shrimp', 2), ('Fish&Chips', 4)]",358.0,-37.8056673,144.9536238,0,8.163,14.856
ORDA01045,2018-01-26,08:50:42,Breakfast,BK,"[('Pancake', 4), ('Cereal', 5)]",202.0,-37.8083827,144.955006,0,8.267999999999999,12.756
ORDI04876,2018-10-22,17:48:10,Dinner,NS,"[('Pasta', 4), ('Fish&Chips', 8), ('Salmon', 5)]",595.0,-37.8209345,144.9613277,0,9.033,14.939
ORDB01588,2018-04-27,11:53:14,Breakfast,TP,"[('Eggs', 10), ('Cereal', 7), ('Pancake', 4)]",464.0,-37.8108376,144.96556,0,8.547,11.375
ORDB05161,2018-11-06,18:18:35,Dinner,TP,"[('Fish&Chips', 5), ('Salmon', 5), ('Shrimp', 3)]",542.0,-37.811388,144.9616951,0,8.371,8916.0
ORDZ05431,2018-07-21,14:35:29,Lunch,NS,"[('Steak', 8), ('Salad', 7), ('Burger', 4), ('Fries', 9), ('Chicken', 9)]",1000.4,-37.8219931,145.0121695,0,11.472999999999999,18.449
ORDY10365,2018-07-27,14:45:38,Lunch,TP,"[('Chicken', 4), ('Fries', 1), ('Salad', 5), ('Burger', 9), ('Steak', 5)]",730.0,-37.7995965,144.9695882,0,10.088,13.265
